,0
974,NA1_4545358667
975,NA1_4545332719
976,NA1_4545332293
977,NA1_4545302502
978,NA1_4545287753
979,NA1_4545242429
980,NA1_4546520031
981,NA1_4546495558
982,NA1_4546489335
983,NA1_4546480928
984,NA1_4546464263
985,NA1_4546444111
986,NA1_4546434858
987,NA1_4546421151
988,NA1_4546410858
989,NA1_4546399525
990,NA1_4546404934
991,NA1_4546393767
992,NA1_4546386898
993,NA1_4546375943
994,NA1_4546359433
995,NA1_4546351863
996,NA1_4546335433
997,NA1_4546317665
998,NA1_4546308366
999,NA1_4545617386
1000,NA1_4546661497
1001,NA1_4546634377
1002,NA1_4546624462
1003,NA1_4546600256
1004,NA1_4546566022
1005,NA1_4546543306
1006,NA1_4546526743
1007,NA1_4546238243
1008,NA1_4546137633
1009,NA1_4546023050
1010,NA1_4545939943
1011,NA1_4545872072
1012,NA1_4545722105
1013,NA1_4545502217
1014,NA1_4545481485
1015,NA1_4545461272
1016,NA1_4545445121
1017,NA1_4545432147
1018,NA1_4545414524
1019,NA1_4545406029
1020,NA1_4546704509
1021,NA1_4546690036
1022,NA1_4546652936
1023,NA1_4546620358
1024,NA1_4546603010
1025,NA1_4546446328
1026,NA1_4546432493
1027,NA1_4546423873
1028,NA1_4546409009
1029,NA1_4546402825
1030,NA1_4546380560
1031,NA1_4546372000
1032,NA1_4546359235
1033,NA1_4546350797
1034,NA1_4546327812
1035,NA1_4546305572
1036,NA1_4546291075
1037,NA1_4546254126
1038,NA1_4546223053
1039,NA1_4546190028
1040,NA1_4546603010
1041,NA1_4546567676
1042,NA1_4546536640
1043,NA1_4546527028
1044,NA1_4546494605
1045,NA1_4546452133
1046,NA1_4546440502
1047,NA1_4546425002
1048,NA1_4546407667
1049,NA1_4546405748
1050,NA1_4546385286
1051,NA1_4546378928
1052,NA1_4546353493
1053,NA1_4546197310
1054,NA1_4546160296
1055,NA1_4546114959
1056,NA1_4546044581
1057,NA1_4545996477
1058,NA1_4545965891
1059,NA1_4545893544
1060,NA1_4546307987
1061,NA1_4546288921
1062,NA1_4546261323
1063,NA1_4546208731
1064,NA1_4546178531
1065,NA1_4546127221
1066,NA1_4546089977
1067,NA1_4546049292
1068,NA1_4546008749
1069,NA1_4545955372
1070,NA1_4545921748
1071,NA1_4545859222
1072,NA1_4545818209
1073,NA1_4545779419
1074,NA1_4545746423
1075,NA1_4545723808
1076,NA1_4545693216
1077,NA1_4545646347
1078,NA1_4545623502
1079,NA1_4545612872
1080,NA1_4546541794
1081,NA1_4546497430
1082,NA1_4546451885
1083,NA1_4546429542
1084,NA1_4546421072
1085,NA1_4546405175
1086,NA1_4546387682
1087,NA1_4546381942
1088,NA1_4546367924
1089,NA1_4546343631
1090,NA1_4546330802
1091,NA1_4546296681
1092,NA1_4546280741
1093,NA1_4546232547
1094,NA1_4546188224
1095,NA1_4546097006
1096,NA1_4546030624
1097,NA1_4545977814
1098,NA1_4545942163
1099,NA1_4545894030
1100,NA1_4546569680
1101,NA1_4546553078
1102,NA1_4546519112
1103,NA1_4546513263
1104,NA1_4546496958
1105,NA1_4546477194
1106,NA1_4546467907
1107,NA1_4546077724
1108,NA1_4546024929
1109,NA1_4545968888
1110,NA1_4545916792
1111,NA1_4545870373
1112,NA1_4545839227
1113,NA1_4545795339
1114,NA1_4545768299
1115,NA1_4545741392
1116,NA1_4545718190
1117,NA1_4545684857
1118,NA1_4545663837
1119,NA1_4545633347
1120,NA1_4546418889
1121,NA1_4546397685
1122,NA1_4546394311
1123,NA1_4546268468
1124,NA1_4546250120
1125,NA1_4546200077
1126,NA1_4546149941
1127,NA1_4546093712
1128,NA1_4546055863
1129,NA1_4546000279
1130,NA1_4545940460
1131,NA1_4545898770
1132,NA1_4545848693
1133,NA1_4545820662
1134,NA1_4545785603
1135,NA1_4545753454
1136,NA1_4545721629
1137,NA1_4545697477
1138,NA1_4545694906
1139,NA1_4545670510
1140,NA1_4546528086
1141,NA1_4546506453
1142,NA1_4546491031
1143,NA1_4546471525
1144,NA1_4546469780
1145,NA1_4546461783
1146,NA1_4546447787
1147,NA1_4546426266
1148,NA1_4546419798
1149,NA1_4546397701
1150,NA1_4546404934
1151,NA1_4546399000
1152,NA1_4546388028
1153,NA1_4546368288
1154,NA1_4546354329
1155,NA1_4546343981
1156,NA1_4546326923
1157,NA1_4546299568
1158,NA1_4546292332
1159,NA1_4546254351
1160,NA1_4545679327
1161,NA1_4545651825
1162,NA1_4545626104
1163,NA1_4545612861
1164,NA1_4545578134
1165,NA1_4545548916
1166,NA1_4545528041
1167,NA1_4545510393
1168,NA1_4545486608
1169,NA1_4545481500
1170,NA1_4545467528
1171,NA1_4545460824
1172,NA1_4545444785
1173,NA1_4545426659
1174,NA1_4545418515
1175,NA1_4545417868
1176,NA1_4545401960
1177,NA1_4545387820
1178,NA1_4545377035
1179,NA1_4545367093
